ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
100.06,0100.06 - Winnipeg,621.0,0.0,159.0,452.0,10.0,0.0,0.2560386473429952,0.7278582930756844,0.0161030595813204,,1352.0,1796.0,,1652.0,,1.4,,,0.5,86000.0,19824.0,23.051162790697678,Highest relative burden
100.07,0100.07 - Winnipeg,190.0,0.0,15.0,166.0,9.0,0.0,0.0789473684210526,0.8736842105263158,0.0473684210526315,,,,,,,,,,,80000.0,,,
100.09,0100.09 - Winnipeg,,,,,,,,,,,,,,,,,,,,133000.0,,,
100.1,0100.10 - Winnipeg,144.0,0.0,36.0,108.0,0.0,0.0,0.25,0.75,0.0,,,,,,,,,,,105000.0,,,
101.01,0101.01 - Winnipeg,446.0,2.0,241.0,199.0,4.0,0.0044843049327354,0.5403587443946188,0.4461883408071749,0.0089686098654708,,1174.0,1265.0,,1223.0,,0.7,0.4,,0.5,91000.0,14676.0,16.127472527472527,Lower relative burden
101.02,0101.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,109000.0,,,
102.01,0102.01 - Winnipeg,244.0,0.0,66.0,150.0,28.0,0.0,0.2704918032786885,0.6147540983606558,0.1147540983606557,,,,,,,,,,,79500.0,,,
102.02,0102.02 - Winnipeg,839.0,40.0,483.0,310.0,6.0,0.0476758045292014,0.5756853396901073,0.3694874851013111,0.0071513706793802,893.0,1158.0,1284.0,,1194.0,,3.3,0.0,,1.7,63200.0,14328.0,22.67088607594937,Higher relative burden
102.03,0102.03 - Winnipeg,733.0,11.0,366.0,344.0,12.0,0.015006821282401,0.4993178717598908,0.4693042291950887,0.0163710777626193,,1009.0,1345.0,,1204.0,,,,,,60400.0,14448.0,23.920529801324506,Highest relative burden
102.04,0102.04 - Winnipeg,914.0,44.0,533.0,294.0,43.0,0.0481400437636761,0.5831509846827133,0.3216630196936542,0.0470459518599562,,1109.0,1247.0,1557.0,1174.0,,0.0,0.6,0.0,0.3,50800.0,14088.0,27.732283464566933,Highest relative burden
103.0,0103.00 - Winnipeg,98.0,4.0,68.0,26.0,0.0,0.0408163265306122,0.6938775510204082,0.2653061224489796,0.0,,,,,,,,,,,92000.0,,,
104.0,0104.00 - Winnipeg,899.0,18.0,413.0,449.0,19.0,0.0200222469410456,0.4593993325917686,0.4994438264738598,0.0211345939933259,,1156.0,1344.0,,1262.0,,,0.5,,0.4,63600.0,15144.0,23.81132075471698,Highest relative burden
105.0,0105.00 - Winnipeg,279.0,3.0,226.0,49.0,1.0,0.010752688172043,0.8100358422939068,0.1756272401433691,0.003584229390681,,,,,,,,,,,81000.0,,,
110.01,0110.01 - Winnipeg,499.0,2.0,85.0,405.0,7.0,0.0040080160320641,0.1703406813627254,0.811623246492986,0.0140280561122244,,1224.0,1726.0,,1641.0,,0.0,0.2,,0.2,88000.0,19692.0,22.377272727272725,Higher relative burden
110.02,0110.02 - Winnipeg,274.0,0.0,80.0,194.0,0.0,0.0,0.291970802919708,0.708029197080292,0.0,,,1561.0,,1483.0,,,,,,101000.0,17796.0,17.61980198019802,Moderate relative burden
110.04,0110.04 - Winnipeg,324.0,80.0,72.0,160.0,12.0,0.2469135802469135,0.2222222222222222,0.4938271604938271,0.037037037037037,,,,,,,,,,,113000.0,,,
110.06,0110.06 - Winnipeg,307.0,0.0,86.0,221.0,0.0,0.0,0.2801302931596091,0.7198697068403909,0.0,,,1427.0,,1336.0,,,,,,124000.0,16032.0,12.929032258064517,Lower relative burden
110.08,0110.08 - Winnipeg,915.0,9.0,271.0,600.0,35.0,0.0098360655737704,0.2961748633879781,0.6557377049180327,0.0382513661202185,,1606.0,1820.0,2160.0,1774.0,,,0.2,,0.1,126000.0,21288.0,16.895238095238096,Moderate relative burden
110.09,0110.09 - Winnipeg,252.0,2.0,75.0,125.0,50.0,0.0079365079365079,0.2976190476190476,0.496031746031746,0.1984126984126984,,,,,,,,,,,140000.0,,,
111.0,0111.00 - Winnipeg,220.0,5.0,131.0,84.0,0.0,0.0227272727272727,0.5954545454545455,0.3818181818181818,0.0,,,,,,,,,,,94000.0,,,
112.01,0112.01 - Winnipeg,152.0,8.0,71.0,73.0,0.0,0.0526315789473684,0.4671052631578947,0.4802631578947368,0.0,,,,,,,,,,,86000.0,,,
112.02,0112.02 - Winnipeg,360.0,5.0,156.0,192.0,7.0,0.0138888888888888,0.4333333333333333,0.5333333333333333,0.0194444444444444,,878.0,,,939.0,,,,,,80000.0,11268.0,14.085,Lower relative burden
113.0,0113.00 - Winnipeg,220.0,16.0,116.0,72.0,16.0,0.0727272727272727,0.5272727272727272,0.3272727272727272,0.0727272727272727,,1011.0,1275.0,,1109.0,,0.0,,,0.7,72500.0,13308.0,18.35586206896552,Moderate relative burden
114.0,0114.00 - Winnipeg,364.0,23.0,267.0,73.0,1.0,0.0631868131868131,0.7335164835164835,0.2005494505494505,0.0027472527472527,,890.0,,,963.0,,,,,,63200.0,11556.0,18.28481012658228,Moderate relative burden
115.0,0115.00 - Winnipeg,201.0,23.0,91.0,86.0,1.0,0.1144278606965174,0.4527363184079602,0.4278606965174129,0.0049751243781094,,874.0,1107.0,,964.0,,0.0,0.0,,0.0,93000.0,11568.0,12.438709677419354,Lower relative burden
116.0,0116.00 - Winnipeg,,75.0,618.0,358.0,16.0,,,,,913.0,1006.0,1333.0,,1124.0,0.0,,0.0,,0.5,52800.0,13488.0,25.545454545454543,Highest relative burden
117.0,0117.00 - Winnipeg,342.0,23.0,201.0,103.0,15.0,0.067251461988304,0.5877192982456141,0.3011695906432748,0.043859649122807,,1065.0,1432.0,,,,0.0,,,,69000.0,,,
