province,centre,ct_id,dwelling_type,units_bachelor,units_1br,units_2br,units_3br_plus,units_total
Man.,Winnipeg,0500.13,Apt & Other,0,296,422,87,805
Man.,Winnipeg,0501.01,Apt & Other,51,626,950,68,"1,695"
Man.,Winnipeg,0501.02,Apt & Other,0,118,284,76,478
Man.,Winnipeg,0501.03,Apt & Other,26,775,953,50,"1,804"
Man.,Winnipeg,0502.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0503.00,Apt & Other,8,21,10,0,39
Man.,Winnipeg,0510.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0510.03,Apt & Other,12,553,930,98,"1,593"
Man.,Winnipeg,0510.06,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0520.02,Apt & Other,0,41,42,0,83
Man.,Winnipeg,0520.03,Apt & Other,0,142,132,10,284
Man.,Winnipeg,0520.04,Apt & Other,0,3,57,0,60
Man.,Winnipeg,0520.05,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0521.01,Apt & Other,0,28,32,0,60
Man.,Winnipeg,0521.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0522.01,Apt & Other,27,138,88,0,253
Man.,Winnipeg,0522.02,Apt & Other,12,34,12,0,58
Man.,Winnipeg,0530.00,Apt & Other,34,189,159,5,387
Man.,Winnipeg,0531.00,Apt & Other,57,168,188,1,414
Man.,Winnipeg,0532.00,Apt & Other,6,24,6,2,38
Man.,Winnipeg,0533.00,Apt & Other,89,157,46,0,292
Man.,Winnipeg,0534.00,Apt & Other,54,397,698,8,"1,157"
Man.,Winnipeg,0535.00,Apt & Other,1,14,14,0,29
Man.,Winnipeg,0536.00,Apt & Other,79,659,665,69,"1,472"
Man.,Winnipeg,0537.01,Apt & Other,14,112,256,23,405
Man.,Winnipeg,0537.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0537.03,Apt & Other,0,93,47,0,140
Man.,Winnipeg,0538.00,Apt & Other,0,36,60,0,96
Man.,Winnipeg,0539.01,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0539.02,Apt & Other,21,220,293,40,574
Man.,Winnipeg,0540.01,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0540.02,Apt & Other,2,176,139,0,317
Man.,Winnipeg,0540.03,Apt & Other,17,377,547,67,"1,008"
Man.,Winnipeg,0540.04,Apt & Other,6,171,135,0,312
Man.,Winnipeg,0541.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0542.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0550.00,Apt & Other,3,29,19,0,51
Man.,Winnipeg,0551.00,Apt & Other,4,159,99,3,265
Man.,Winnipeg,0552.01,Apt & Other,0,130,158,76,364
Man.,Winnipeg,0552.02,Apt & Other,32,140,221,10,403
Man.,Winnipeg,0553.00,Apt & Other,4,557,391,2,954
Man.,Winnipeg,0560.01,Apt & Other,0,7,41,25,73
Man.,Winnipeg,0560.04,Apt & Other,0,176,145,44,365
Man.,Winnipeg,0560.05,Apt & Other,1,71,63,4,139
Man.,Winnipeg,0560.08,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0560.09,Apt & Other,0,87,162,21,270
Man.,Winnipeg,0560.10,Apt & Other,0,189,821,59,"1,069"
Man.,Winnipeg,0560.11,Apt & Other,0,96,214,43,353
Man.,Winnipeg,0560.12,Apt & Other,0,68,82,21,171
Man.,Winnipeg,0560.13,Apt & Other,0,0,305,0,305
Man.,Winnipeg,0560.14,Apt & Other,0,42,169,2,213
Man.,Winnipeg,0560.15,Apt & Other,0,314,225,50,589
Man.,Winnipeg,0570.00,Apt & Other,0,12,24,18,54
Man.,Winnipeg,0580.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0585.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0590.02,Apt & Other,0,0,8,4,12
Man.,Winnipeg,0590.03,Apt & Other,8,2,16,17,43
Man.,Winnipeg,0590.04,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0595.01,Apt & Other,0,0,30,72,102
Man.,Winnipeg,0595.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0600.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0700.00,Apt & Other,0,0,46,0,46
Man.,Winnipeg,0800.00,Apt & Other,1,15,36,12,64
Man.,Winnipeg,Total,Apt & Other,"4,203","31,863","30,802","2,592","69,460"
