ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0042.00,0042.00 - Winnipeg,233.0,13.0,114.0,106.0,0.0,0.055793991416309016,0.4892703862660944,0.45493562231759654,0.0,,664.0,831.0,,726.0,,,,,,51600.0,8712.0,16.883720930232556,Moderate relative burden
0043.00,0043.00 - Winnipeg,92.0,10.0,46.0,34.0,2.0,0.10869565217391304,0.5,0.3695652173913043,0.021739130434782608,,654.0,781.0,,737.0,,,,,,46400.0,8844.0,19.060344827586206,Moderate relative burden
0044.00,0044.00 - Winnipeg,103.0,0.0,81.0,22.0,0.0,0.0,0.7864077669902912,0.21359223300970873,0.0,,,,,,,,,,,62000.0,,,
0045.00,0045.00 - Winnipeg,184.0,4.0,109.0,66.0,5.0,0.021739130434782608,0.592391304347826,0.358695652173913,0.02717391304347826,,640.0,,,692.0,,,,,,62400.0,8304.0,13.307692307692307,Lower relative burden
0046.00,0046.00 - Winnipeg,253.0,5.0,135.0,109.0,4.0,0.019762845849802372,0.5335968379446641,0.4308300395256917,0.015810276679841896,,800.0,919.0,,847.0,,9.6,,,7.9,62000.0,10164.0,16.393548387096775,Lower relative burden
0047.00,0047.00 - Winnipeg,73.0,0.0,46.0,27.0,0.0,0.0,0.6301369863013698,0.3698630136986301,0.0,,781.0,,,790.0,,2.5,,,1.6,74000.0,9480.0,12.81081081081081,Lower relative burden
0048.00,0048.00 - Winnipeg,4.0,1.0,2.0,1.0,0.0,0.25,0.5,0.25,0.0,,,,,,,,,,,82000.0,,,
0049.00,0049.00 - Winnipeg,7.0,1.0,4.0,2.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,,,,,,,,,,,94000.0,,,
0050.01,0050.01 - Winnipeg,22.0,0.0,13.0,9.0,0.0,0.0,0.5909090909090909,0.4090909090909091,0.0,,,,,,,,,,,60800.0,,,
0050.02,0050.02 - Winnipeg,104.0,5.0,63.0,36.0,0.0,0.04807692307692308,0.6057692307692307,0.34615384615384615,0.0,,947.0,,,982.0,,,,,,87000.0,11784.0,13.544827586206898,Lower relative burden
