ct_id,units_bachelor,units_1br,units_2br,units_3br_plus,units_total,share_bachelor,share_1br,share_2br,share_3br_plus,log_units_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,vacancy_bachelor_reliability,vacancy_1br_reliability,vacancy_2br_reliability,vacancy_3br_plus_reliability,vacancy_total_reliability,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,rent_bachelor_reliability,rent_1br_reliability,rent_2br_reliability,rent_3br_plus_reliability,rent_total_reliability,geo,statcan_dguid,median_household_income_2020
0102.04,44.0,533.0,294.0,43.0,914.0,0.04814004376367615,0.5831509846827133,0.32166301969365424,0.047045951859956234,6.818924065275521,,0.0,0.6,0.0,0.3,',a,a,a,a,,1109.0,1247.0,1557.0,1174.0,',a,a,a,a,0102.04 - Winnipeg,2021S05076020102.04,50800.0
0103.00,4.0,68.0,26.0,0.0,98.0,0.04081632653061224,0.6938775510204082,0.2653061224489796,0.0,4.59511985013459,,,,,,',',',',',,,,,,',',',',',0103.00 - Winnipeg,2021S05076020103.00,92000.0
0104.00,18.0,413.0,449.0,19.0,899.0,0.020022246941045607,0.4593993325917686,0.4994438264738598,0.021134593993325918,6.802394763324311,,,0.5,,0.4,',',a,',a,,1156.0,1344.0,,1262.0,',a,a,',a,0104.00 - Winnipeg,2021S05076020104.00,63600.0
0105.00,3.0,226.0,49.0,1.0,279.0,0.010752688172043012,0.8100358422939068,0.17562724014336917,0.0035842293906810036,5.634789603169249,,,,,,',',',',',,,,,,',',',',',0105.00 - Winnipeg,2021S05076020105.00,81000.0
0110.01,2.0,85.0,405.0,7.0,499.0,0.004008016032064128,0.17034068136272545,0.811623246492986,0.014028056112224449,6.214608098422191,,0.0,0.2,,0.2,',a,a,',a,,1224.0,1726.0,,1641.0,',a,a,',a,0110.01 - Winnipeg,2021S05076020110.01,88000.0
0110.02,0.0,80.0,194.0,0.0,274.0,0.0,0.291970802919708,0.708029197080292,0.0,5.616771097666572,,,,,,',',',',',,,1561.0,,1483.0,',',b,',b,0110.02 - Winnipeg,2021S05076020110.02,101000.0
0110.04,80.0,72.0,160.0,12.0,324.0,0.24691358024691357,0.2222222222222222,0.49382716049382713,0.037037037037037035,5.783825182329737,,,,,,',',',',',,,,,,',',',',',0110.04 - Winnipeg,2021S05076020110.04,113000.0
0110.06,0.0,86.0,221.0,0.0,307.0,0.0,0.28013029315960913,0.7198697068403909,0.0,5.730099782973574,,,,,,',',',',',,,1427.0,,1336.0,',',a,',b,0110.06 - Winnipeg,2021S05076020110.06,124000.0
0110.08,9.0,271.0,600.0,35.0,915.0,0.009836065573770493,0.29617486338797816,0.6557377049180327,0.03825136612021858,6.82001636467413,,,0.2,,0.1,',',a,',a,,1606.0,1820.0,2160.0,1774.0,',a,a,a,a,0110.08 - Winnipeg,2021S05076020110.08,126000.0
0110.09,2.0,75.0,125.0,50.0,252.0,0.007936507936507936,0.2976190476190476,0.49603174603174605,0.1984126984126984,5.53338948872752,,,,,,',',',',',,,,,,',',',',',0110.09 - Winnipeg,2021S05076020110.09,140000.0
0111.00,5.0,131.0,84.0,0.0,220.0,0.022727272727272728,0.5954545454545455,0.38181818181818183,0.0,5.3981627015177525,,,,,,',',',',',,,,,,',',',',',0111.00 - Winnipeg,2021S05076020111.00,94000.0
0112.01,8.0,71.0,73.0,0.0,152.0,0.05263157894736842,0.46710526315789475,0.48026315789473684,0.0,5.030437921392435,,,,,,',',',',',,,,,,',',',',',0112.01 - Winnipeg,2021S05076020112.01,86000.0
0112.02,5.0,156.0,192.0,7.0,360.0,0.013888888888888888,0.43333333333333335,0.5333333333333333,0.019444444444444445,5.8888779583328805,,,,,,',',',',',,878.0,,,939.0,',b,',',b,0112.02 - Winnipeg,2021S05076020112.02,80000.0
0113.00,16.0,116.0,72.0,16.0,220.0,0.07272727272727272,0.5272727272727272,0.32727272727272727,0.07272727272727272,5.3981627015177525,,0.0,,,0.7,',d,',',b,,1011.0,1275.0,,1109.0,',c,c,',d,0113.00 - Winnipeg,2021S05076020113.00,72500.0
0114.00,23.0,267.0,73.0,1.0,364.0,0.06318681318681318,0.7335164835164835,0.20054945054945056,0.0027472527472527475,5.8998973535824915,,,,,,',',',',',,890.0,,,963.0,',c,',',c,0114.00 - Winnipeg,2021S05076020114.00,63200.0
0115.00,23.0,91.0,86.0,1.0,201.0,0.11442786069651742,0.4527363184079602,0.42786069651741293,0.004975124378109453,5.308267697401205,,0.0,0.0,,0.0,',d,d,',d,,874.0,1107.0,,964.0,',b,b,',c,0115.00 - Winnipeg,2021S05076020115.00,93000.0
0116.00,75.0,618.0,358.0,16.0,,,,,,,0.0,,0.0,,0.5,d,',d,',b,913.0,1006.0,1333.0,,1124.0,b,b,a,',b,0116.00 - Winnipeg,2021S05076020116.00,52800.0
0117.00,23.0,201.0,103.0,15.0,342.0,0.06725146198830409,0.5877192982456141,0.30116959064327486,0.043859649122807015,5.8377304471659395,,0.0,,,,',d,',',',,1065.0,1432.0,,,',d,d,',',0117.00 - Winnipeg,2021S05076020117.00,69000.0
0120.01,0.0,33.0,43.0,10.0,86.0,0.0,0.38372093023255816,0.5,0.11627906976744186,4.465908118654584,,,,,,',',',',',,,,,,',',',',',0120.01 - Winnipeg,2021S05076020120.01,95000.0
