province,centre,ct_id,dwelling_type,vacancy_bachelor,reliability_bachelor,vacancy_1br,reliability_1br,vacancy_2br,reliability_2br,vacancy_3br_plus,reliability_3br_plus,vacancy_total,reliability_total,vacancy_bachelor_pct,vacancy_1br_pct,vacancy_2br_pct,vacancy_3br_plus_pct,vacancy_total_pct
Man.,Winnipeg,0150.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0160.00,Apt & Other,--,',**,',--,',--,',**,',,,,,
Man.,Winnipeg,0161.01,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0161.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0500.01,Apt & Other,**,',**,',3.0%,d,**,',2.5%,c,,,3.0,,2.5
Man.,Winnipeg,0500.02,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0500.04,Apt & Other,**,',2.1%,a,1.2%,d,**,',1.7%,b,,2.1,1.2,,1.7
Man.,Winnipeg,0500.07,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0500.08,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0500.09,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0500.10,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0500.11,Apt & Other,--,',0.0%,a,0.3%,a,**,',0.3%,a,,0.0,0.3,,0.3
Man.,Winnipeg,0500.12,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0500.13,Apt & Other,--,',**,',0.6%,b,**,',1.8%,c,,,0.6,,1.8
Man.,Winnipeg,0501.01,Apt & Other,**,',1.8%,c,1.6%,b,**,',1.6%,b,,1.8,1.6,,1.6
Man.,Winnipeg,0501.02,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0501.03,Apt & Other,**,',0.8%,a,1.7%,c,**,',1.2%,a,,0.8,1.7,,1.2
Man.,Winnipeg,0502.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0503.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0510.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0510.03,Apt & Other,**,',0.5%,a,0.1%,b,2.9%,a,0.5%,a,,0.5,0.1,2.9,0.5
Man.,Winnipeg,0510.06,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0520.02,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0520.03,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0520.04,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0520.05,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0521.01,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0521.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0522.01,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0522.02,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0530.00,Apt & Other,**,',0.0%,d,**,',**,',0.6%,b,,0.0,,,0.6
Man.,Winnipeg,0531.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0532.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0533.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0534.00,Apt & Other,**,',2.5%,c,1.7%,b,**,',1.9%,b,,2.5,1.7,,1.9
Man.,Winnipeg,0535.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0536.00,Apt & Other,**,',1.6%,a,3.7%,c,**,',2.8%,a,,1.6,3.7,,2.8
Man.,Winnipeg,0537.01,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0537.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0537.03,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0538.00,Apt & Other,--,',**,',**,',--,',26.0%,a,,,,,26.0
Man.,Winnipeg,0539.01,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0539.02,Apt & Other,0.0%,a,0.7%,b,0.4%,a,**,',0.5%,b,0.0,0.7,0.4,,0.5
Man.,Winnipeg,0540.01,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0540.02,Apt & Other,**,',0.0%,a,1.0%,a,--,',0.4%,a,,0.0,1.0,,0.4
Man.,Winnipeg,0540.03,Apt & Other,**,',0.3%,b,0.8%,a,0.0%,a,0.6%,a,,0.3,0.8,0.0,0.6
Man.,Winnipeg,0540.04,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0541.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0542.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0550.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0551.00,Apt & Other,**,',0.0%,d,**,',**,',**,',,0.0,,,
Man.,Winnipeg,0552.01,Apt & Other,--,',**,',0.6%,b,**,',0.5%,b,,,0.6,,0.5
Man.,Winnipeg,0552.02,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0553.00,Apt & Other,**,',1.1%,d,1.1%,d,**,',1.1%,d,,1.1,1.1,,1.1
Man.,Winnipeg,0560.01,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.04,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.05,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.08,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0560.09,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.10,Apt & Other,--,',0.7%,b,0.6%,a,**,',1.0%,a,,0.7,0.6,,1.0
Man.,Winnipeg,0560.11,Apt & Other,--,',1.0%,a,1.4%,a,0.0%,a,1.1%,a,,1.0,1.4,0.0,1.1
Man.,Winnipeg,0560.12,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.13,Apt & Other,--,',--,',0.0%,a,--,',0.0%,a,,,0.0,,0.0
Man.,Winnipeg,0560.14,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0560.15,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0570.00,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0580.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0585.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0590.02,Apt & Other,--,',--,',**,',**,',**,',,,,,
Man.,Winnipeg,0590.03,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0590.04,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0595.01,Apt & Other,--,',--,',**,',**,',**,',,,,,
Man.,Winnipeg,0595.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0600.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0700.00,Apt & Other,--,',--,',**,',--,',**,',,,,,
Man.,Winnipeg,0800.00,Apt & Other,**,',0.0%,a,**,',**,',**,',,0.0,,,
Man.,Winnipeg,Total,Apt & Other,2.8%,a,1.8%,a,1.7%,a,1.7%,b,1.8%,a,2.8,1.8,1.7,1.7,1.8
