ct_id,geo,statcan_dguid,median_household_income_2020
0560.05,0560.05 - Winnipeg,2021S05076020560.05,75500.0
0560.08,0560.08 - Winnipeg,2021S05076020560.08,138000.0
0560.09,0560.09 - Winnipeg,2021S05076020560.09,116000.0
0560.10,0560.10 - Winnipeg,2021S05076020560.10,94000.0
0560.11,0560.11 - Winnipeg,2021S05076020560.11,102000.0
0560.12,0560.12 - Winnipeg,2021S05076020560.12,118000.0
0560.13,0560.13 - Winnipeg,2021S05076020560.13,98000.0
0560.14,0560.14 - Winnipeg,2021S05076020560.14,67000.0
0560.15,0560.15 - Winnipeg,2021S05076020560.15,84000.0
0570.00,0570.00 - Winnipeg,2021S05076020570.00,123000.0
0580.00,0580.00 - Winnipeg,2021S05076020580.00,120000.0
0585.00,0585.00 - Winnipeg,2021S05076020585.00,95000.0
0590.02,0590.02 - Winnipeg,2021S05076020590.02,103000.0
0590.03,0590.03 - Winnipeg,2021S05076020590.03,126000.0
0590.04,0590.04 - Winnipeg,2021S05076020590.04,100000.0
0595.01,0595.01 - Winnipeg,2021S05076020595.01,106000.0
0595.02,0595.02 - Winnipeg,2021S05076020595.02,114000.0
0600.00,0600.00 - Winnipeg,2021S05076020600.00,109000.0
0700.00,0700.00 - Winnipeg,2021S05076020700.00,135000.0
0800.00,0800.00 - Winnipeg,2021S05076020800.00,102000.0
